id_cliente,churn,genero,idoso,conjuge,dependentes,meses_contrato,telefone,multiplas_linhas,internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,streaming_tv,streaming_filmes,contrato,fatura_digital,metodo_pagamento,cobranca_mensal,cobranca_total,contas_diarias
0002-ORFBO,Não,Mulher,Não,Sim,Sim,9,Sim,Não,DSL,Não,Sim,Não,Sim,Sim,Não,Anual,Sim,Cheque enviado,65.6,593.3,2.19
0003-MKNFE,Não,Homem,Não,Não,Não,9,Sim,Sim,DSL,Não,Não,Não,Não,Não,Sim,Mensal,Não,Cheque enviado,59.9,542.4,2.0
0004-TLHLJ,Sim,Homem,Não,Não,Não,4,Sim,Não,Fibra óptica,Não,Não,Sim,Não,Não,Não,Mensal,Sim,Cheque eletrônico,73.9,280.85,2.46
0011-IGKFF,Sim,Homem,Sim,Sim,Não,13,Sim,Não,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,98.0,1237.85,3.27
0013-EXCHZ,Sim,Mulher,Sim,Sim,Não,3,Sim,Não,Fibra óptica,Não,Não,Não,Sim,Sim,Não,Mensal,Sim,Cheque enviado,83.9,267.4,2.8
0013-MHZWF,Não,Mulher,Não,Não,Sim,9,Sim,Não,DSL,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cartão de crédito,69.4,571.45,2.31
0013-SMEOE,Não,Mulher,Sim,Sim,Não,71,Sim,Não,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Transferência bancária,109.7,7904.25,3.66
0014-BMAQU,Não,Homem,Não,Sim,Não,63,Sim,Sim,Fibra óptica,Sim,Não,Não,Sim,Não,Não,Bienal,Sim,Cartão de crédito,84.65,5377.8,2.82
0015-UOCOJ,Não,Mulher,Sim,Não,Não,7,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,48.2,340.35,1.61
0016-QLJIS,Não,Mulher,Não,Sim,Sim,65,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Cheque enviado,90.45,5957.9,3.02
0017-DINOC,Não,Homem,Não,Não,Não,54,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Sim,Não,Bienal,Não,Cartão de crédito,45.2,2460.55,1.51
0017-IUDMW,Não,Mulher,Não,Sim,Sim,72,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Cartão de crédito,116.8,8456.75,3.89
0018-NYROU,Não,Mulher,Não,Sim,Não,5,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,68.95,351.5,2.3
0019-EFAEP,Não,Mulher,Não,Não,Não,72,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Não,Sim,Não,Bienal,Sim,Transferência bancária,101.3,7261.25,3.38
0019-GFNTW,Não,Mulher,Não,Não,Não,56,Não,Sem serviço de telefone,DSL,Sim,Sim,Sim,Sim,Não,Não,Bienal,Não,Transferência bancária,45.05,2560.1,1.5
0020-INWCK,Não,Mulher,Não,Sim,Sim,71,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Não,Sim,Bienal,Sim,Cartão de crédito,95.75,6849.4,3.19
0020-JDNXP,Não,Mulher,Não,Sim,Sim,34,Não,Sem serviço de telefone,DSL,Sim,Não,Sim,Sim,Sim,Sim,Anual,Não,Cheque enviado,61.25,1993.2,2.04
0021-IKXGC,Não,Mulher,Sim,Não,Não,1,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,72.1,72.1,2.4
